Trial,ParticipantID,Xstart,Ystart,Xtarget,YTarget,TargetWidth,TimeTaken,SuccessfulClick
0,1,307,225,310,220,40,0.001,1
1,1,401,225,400,220,40,2.67,1
2,1,310,491,310,490,40,5.273,1
3,1,489,318,490,310,40,6.54,1
4,1,484,498,490,490,40,8.039,1
5,1,205,498,220,490,40,8.857,1
6,1,223,309,220,310,40,9.821,1
7,1,404,410,400,400,40,10.554,1
8,1,407,498,400,490,40,11.355,1
9,1,481,398,490,400,40,12.106,1
10,1,304,312,310,310,40,12.955,1
11,1,304,396,310,400,40,13.738,1
12,1,208,402,220,400,40,14.538,1
13,1,396,314,400,310,40,15.308,1
14,1,487,215,490,220,40,16.239,1
15,1,230,221,220,220,40,17.456,1
0,1,311,312,310,310,40,0,1
1,1,212,401,220,400,40,1.718,1
2,1,405,316,400,310,40,2.651,1
3,1,492,494,490,490,40,3.569,1
4,1,304,400,310,400,40,4.352,1
5,1,495,405,490,400,40,5.234,1
6,1,314,217,310,220,40,6.036,1
7,1,222,220,220,220,40,6.8,1
8,1,486,307,490,310,40,7.817,1
9,1,225,485,220,490,40,8.65,1
10,1,228,318,220,310,40,9.367,1
11,1,303,491,310,490,40,10.302,1
12,1,406,493,400,490,40,11.037,1
13,1,402,393,400,400,40,11.984,1
14,1,509,214,490,220,40,12.868,1
15,1,404,222,400,220,40,13.651,1
